Matt Forte,NYJ,RB,6.328229468,4.963997028,7.082034954,36
Terrelle Pryor,WAS,WR,6.301551849,5.046002972,7.375839849,33
Rob Kelley,WAS,RB,6.281211149,4.229331352,7.573017493,37
Redskins,WAS,DST,6.269806835,5.82,6.527837209,20
Duke Johnson,CLE,RB,6.24251665,5.29332838,6.991728113,38
Kenny Stills,MIA,WR,6.223878424,5.666002972,6.669053488,34
Buccaneers,TB,DST,6.202228826,6.1,6.260872093,21
Patriots,NE,DST,6.182674591,6.06,6.253046512,22
Cardinals,ARI,DST,6.180950966,5.22,6.732197674,23
Sterling Shepard,NYG,WR,6.179104348,4.795002972,7.095528472,35
Tarik Cohen,CHI,RB,6.171857763,5.772644874,6.516461337,39
Browns,CLE,DST,6.160029718,5.7,6.423924419,24
Falcons,ATL,DST,6.150178306,5.5,6.55793617,25
Eric Decker,TEN,WR,6.137956629,4.956002972,6.833999392,36
Cooper Kupp,LAR,WR,6.134422233,5.493,6.588496285,37
Colts,IND,DST,6.070237741,5.83,6.208049419,26
Chris Ivory,JAC,RB,6.061663419,6.019,6.09244976,40
Amari Cooper,OAK,WR,6.034221292,4.646,7.102479688,38
Mohamed Sanu,ATL,WR,6.024876614,4.621502972,6.781234551,39
Raiders,OAK,DST,5.996909361,5.68,6.178703488,27
Danny Amendola,NE,WR,5.976982179,5.704,6.114766392,40
Ted Ginn,NO,WR,5.953274867,4.907159733,7.147291945,41
Jordan Reed,WAS,TE,5.900458429,3.822659733,7.044008337,12
Jermaine Kearse,NYJ,WR,5.853275455,5.470668648,6.133701571,42
Donte Moncrief,IND,WR,5.826194862,4.646002972,6.857992733,43
Sammy Watkins,LAR,WR,5.809528316,2.977502972,7.30670076,44
Bengals,CIN,DST,5.796478455,5.27,6.098491279,28
DeMarco Murray,TEN,RB,5.792613455,4.117,6.843822146,41
Latavius Murray,MIN,RB,5.770942936,4.278662704,7.269831946,42
Aldrick Rosas,NYG,K,5.746292776,5.304054054,6.203020619,29
Packers,GB,DST,5.704026746,5.29,5.941531977,29
Martavis Bryant,PIT,WR,5.676643088,3.783002972,6.911517661,45
Nelson Agholor,PHI,WR,5.631518178,3.130502972,7.247555959,46
Delanie Walker,TEN,TE,5.627719844,4.028002972,6.499875888,13
Taylor Gabriel,ATL,WR,5.522024333,3.621502972,6.518653223,47
Dion Lewis,NE,RB,5.508133886,4.373997028,6.53801003,43
Thomas Rawls,SEA,RB,5.502089498,4.229331352,6.58794699,44
49ers,SF,DST,5.487994056,5.4,5.543179331,30
Alex Collins,BAL,RB,5.482809021,3.774635958,6.554167187,45
Jeremy Maclin,BAL,WR,5.454309488,4.990668648,6.008780076,48
