"playerId","player","team","position","age","exp","bye","points","lower","upper","sdPts","positionRank","dropoff","tier","ptSpread","overallECR","positionECR","sdRank","risk","sleeper","salary"
2553435,"David Johnson","ARI","RB",28,4,12,13.1344994348954,11.678,14.3300585860431,1.15114188771092,13,0.526742817426348,5,2.65205858604311,NA,8.6,1.4,2.838823795994,NA,6800
2543495,"Davante Adams","GB","WR",27,5,11,13.0702090170393,11.52,14.8958511654581,1.61021327100893,4,0.284628481296231,2,3.3758511654581,NA,3.9,2.1,2.78840607250576,NA,8000
2532888,"Case Keenum","WAS","QB",31,7,10,12.9334965818976,10.5546826783115,15.4881544565217,2.30207312739024,22,0.0701149408003001,7,4.93347177821024,NA,21,2.6,9.00166851733675,NA,7200
2552430,"Tyler Lockett","SEA","WR",27,4,11,12.9036176074418,10.427262966333,15.3610096171665,2.28282731193493,5,0.269632474858307,2,4.93374665083343,NA,6.7,2.1,2.78840607250576,NA,6600
2558008,"Mitchell Trubisky","CHI","QB",25,2,6,12.8909957782861,10.4789279475983,14.5081910638298,1.85689299499639,23,0.109529103468546,7,4.02926311623153,NA,25.3,1.3,4.86910430083478,NA,6800
2543465,"Teddy Bridgewater","NO","QB",27,5,9,12.8357675039086,10.25167,14.5354647021277,1.87877351098622,24,0.218488377625389,7,4.28379470212766,NA,27.1,1.3,4.86910430083478,NA,7100
2543499,"Derek Carr","OAK","QB",28,5,6,12.7271658457265,10.42328,14.0876958297872,1.63180934945699,25,0.573896002111585,7,3.66441582978723,NA,25.1,1.6,5.82277296618139,NA,6800
2495466,"Mark Ingram","BAL","RB",30,8,8,12.7257289983551,12.126,13.5575581593806,0.858976145211149,14,0.524160010558287,5,1.43155815938064,NA,9.7,1.8,3.15734425581307,NA,7800
2543498,"Brandin Cooks","LAR","WR",26,5,9,12.6675434640443,9.59451089248068,15.8936355667683,2.9629699162683,6,0.124147386387511,2,6.29912467428764,NA,12.8,1.8,2.62098848864083,NA,7300
2543468,"Mike Evans","TB","WR",26,5,7,12.6004268011227,10.7273506676037,14.5435739858856,1.77865545318615,7,0.13776128621789,2,3.81622331828192,NA,11.7,3.4,3.51388226925378,NA,7700
2560800,"Baker Mayfield","CLE","QB",24,1,7,12.5073924068399,10.74112,15.0406361863354,1.9268682400396,26,0.982451236647133,7,4.2995161863354,NA,20.3,1.3,4.86910430083478,NA,7500
2559947,"Phillip Lindsay","DEN","RB",25,1,10,12.489784236583,9.94,13.9400919141674,1.81862027909776,15,0.755600418778767,5,4.00009191416741,NA,19.5,2.9,4.0332755203155,NA,6900
2543457,"Sammy Watkins","KC","WR",26,5,12,12.4863653541909,10.35,14.2424837995094,1.61568445350638,8,0.0725274983191806,2,3.89248379950938,NA,10.3,3.1,3.34646468538885,NA,6900
2557898,"Cooper Kupp","LAR","WR",26,2,9,12.4389656756187,9.42048407643312,14.8483350928136,2.53756432183276,9,0.168790040286691,2,5.42785101638048,NA,9.2,2.2,2.84421193379407,NA,7000
