	ID	dropoff	lineup_cost	lineup_id	lineup_position	lineup_score	lower	player	points	position	positionECR	positionRank	projected_ownership	ptSpread	risk	salary	score	team	tier	upper
50	13425246	2.09246764066257	49800.0	3989296576	TE	34.01487193362193	0.7142857142857143	Travis Kelce	0.6825396825396826	TE	0.016129032258064516	1	0.11764705882352941	0.4523809523809524	5.26365463898186	7200.0	4.193867243867244	KC	0.031746031746031744	0.6666666666666666
4	13424691	0.09229749465783502	49800.0	3989296576	QB	34.01487193362193	0.9444444444444444	Philip Rivers	0.9682539682539683	QB	0.20967741935483872	5	0.2647058823529412	0.49206349206349204	6.4585520764124595	6200.0	5.256881313131313	LAC	0.1626984126984127	0.9603174603174603
81	13424810	0.20682767519863396	49800.0	3989296576	RB1	34.01487193362193	0.4444444444444444	Carlos Hyde	0.47619047619047616	RB	0.6451612903225806	20	0.7647058823529411	0.6587301587301587	4.2721658651798	4300.0	2.8479437229437226	HOU	0.9365079365079365	0.40476190476190477
29	13424760	0.14372463475585698	49800.0	3989296576	RB2	34.01487193362193	0.753968253968254	Nick Chubb	0.7936507936507936	RB	0.3387096774193548	9	0.21568627450980393	0.7063492063492064	3.15734425581307	6400.0	4.401569264069264	CLE	0.5238095238095238	0.7936507936507936
78	13425000	0.0608717327398818	49800.0	3989296576	WR3	34.01487193362193	0.5079365079365079	Larry Fitzgerald	0.5	WR	0.5564516129032258	20	0.4411764705882353	0.6349206349206349	3.40227054667716	5600.0	3.2717532467532466	ARI	0.5238095238095238	0.5476190476190477
89	13425018	0.19041238538969602	49800.0	3989296576	WR1	34.01487193362193	0.30158730158730157	Christian Kirk	0.42857142857142855	WR	0.6370967741935484	25	0.5980392156862745	0.9047619047619048	3.45807640796547	5100.0	2.8244227994227993	ARI	0.5238095238095238	0.5079365079365079
70	13424990	0.16110434773868398	49800.0	3989296576	WR2	34.01487193362193	0.5158730158730159	Marquise Brown	0.5476190476190477	WR	0.5967741935483871	17	0.37254901960784315	0.8809523809523809	3.2906588241005403	5800.0	3.4533459595959597	BAL	0.3373015873015873	0.6349206349206349
69	13425432	0.369693428571427	49800.0	3989296576	DST	34.01487193362193	0.6428571428571429	Ravens	0.5555555555555556	DST	0.9516129032258065	6	0.9509803921568627	0.18253968253968253	4.21546586746707	3200.0	3.405257936507936	BAL	0.3373015873015873	0.48412698412698413
87	13425006	0.0837068248174742	49800.0	58129375	WR2	33.972853535353536	0.46825396825396826	Marvin Jones	0.4444444444444444	WR	0.7258064516129032	23	0.49019607843137253	0.5873015873015873	4.51838777244336	5400.0	2.9234307359307357	DET	0.5238095238095238	0.4365079365079365
10	13424694	0.501991576415019	49800.0	58129375	QB	33.972853535353536	0.9365079365079365	Matt Ryan	0.9206349206349206	QB	0.29435483870967744	9	0.3431372549019608	0.14285714285714285	5.504883411065849	5900.0	5.113474025974026	ATL	0.5238095238095238	0.9126984126984127
